date,type,time_ny,note
2022-02-04,NFP,08:30,BLS release archive
2022-02-10,CPI,08:30,BLS release archive
2022-02-15,PPI,08:30,BLS release archive
2022-02-16,retail_sales,08:30,Census MARTS release dates
2022-02-18,opex,09:30,monthly; AM-settled index options settle at the open
2022-02-21,early_close,13:00,exchange holiday: CME Globex-only session
2022-02-25,PCE,08:30,"Personal Income and Outlays, January 2022"
2022-03-04,NFP,08:30,BLS release archive
2022-03-10,CPI,08:30,BLS release archive
2022-03-15,PPI,08:30,BLS release archive
2022-03-16,FOMC,14:00,"scheduled meeting, statement 14:00"
2022-03-16,retail_sales,08:30,Census MARTS release dates
2022-03-18,opex,09:30,quad witching; AM-settled index options settle at the open
2022-03-31,PCE,08:30,"Personal Income and Outlays, February 2022"
2022-04-01,NFP,08:30,BLS release archive
2022-04-12,CPI,08:30,BLS release archive
2022-04-13,PPI,08:30,BLS release archive
2022-04-14,opex,09:30,monthly; moved to Thursday (Good Friday); AM-settled index options settle at the open
2022-04-14,retail_sales,08:30,Census MARTS release dates
2022-04-28,GDP_advance,08:30,"Gross Domestic Product, First Quarter 2022 (Advance Estimate)"
2022-04-29,PCE,08:30,"Personal Income and Outlays, March 2022"
2022-05-04,FOMC,14:00,"scheduled meeting, statement 14:00"
2022-05-06,NFP,08:30,BLS release archive
2022-05-11,CPI,08:30,BLS release archive
2022-05-12,PPI,08:30,BLS release archive
2022-05-17,retail_sales,08:30,Census MARTS release dates
2022-05-20,opex,09:30,monthly; AM-settled index options settle at the open
2022-05-27,PCE,08:30,"Personal Income and Outlays, April 2022"
2022-05-30,early_close,13:00,exchange holiday: CME Globex-only session
2022-06-03,NFP,08:30,BLS release archive
2022-06-10,CPI,08:30,BLS release archive
2022-06-14,PPI,08:30,BLS release archive
2022-06-15,FOMC,14:00,"scheduled meeting, statement 14:00"
2022-06-15,retail_sales,08:30,Census MARTS release dates
2022-06-17,opex,09:30,quad witching; AM-settled index options settle at the open
2022-06-20,early_close,13:00,exchange holiday: CME Globex-only session
2022-06-30,PCE,08:30,"Personal Income and Outlays, May 2022"
2022-07-04,early_close,13:00,exchange holiday: CME Globex-only session
2022-07-08,NFP,08:30,BLS release archive
2022-07-13,CPI,08:30,BLS release archive
2022-07-14,PPI,08:30,BLS release archive
2022-07-15,opex,09:30,monthly; AM-settled index options settle at the open
2022-07-15,retail_sales,08:30,Census MARTS release dates
2022-07-27,FOMC,14:00,"scheduled meeting, statement 14:00"
2022-07-28,GDP_advance,08:30,"Gross Domestic Product, Second Quarter 2022 (Advance Estimate)"
2022-07-29,PCE,08:30,"Personal Income and Outlays, June 2022"
2022-08-05,NFP,08:30,BLS release archive
2022-08-10,CPI,08:30,BLS release archive
2022-08-11,PPI,08:30,BLS release archive
2022-08-17,retail_sales,08:30,Census MARTS release dates
2022-08-19,opex,09:30,monthly; AM-settled index options settle at the open
2022-08-26,PCE,08:30,"Personal Income and Outlays, July 2022"
2022-09-02,NFP,08:30,BLS release archive
2022-09-05,early_close,13:00,exchange holiday: CME Globex-only session
2022-09-13,CPI,08:30,BLS release archive
2022-09-14,PPI,08:30,BLS release archive
2022-09-15,retail_sales,08:30,Census MARTS release dates
2022-09-16,opex,09:30,quad witching; AM-settled index options settle at the open
2022-09-21,FOMC,14:00,"scheduled meeting, statement 14:00"
2022-09-30,PCE,08:30,"Personal Income and Outlays, August 2022 and Annual Update"
2022-10-07,NFP,08:30,BLS release archive
2022-10-12,PPI,08:30,BLS release archive
2022-10-13,CPI,08:30,BLS release archive
2022-10-14,retail_sales,08:30,Census MARTS release dates
2022-10-21,opex,09:30,monthly; AM-settled index options settle at the open
2022-10-27,GDP_advance,08:30,"Gross Domestic Product, Third Quarter 2022 (Advance Estimate)"
2022-10-28,PCE,08:30,"Personal Income and Outlays, September 2022"
2022-11-02,FOMC,14:00,"scheduled meeting, statement 14:00"
2022-11-04,NFP,08:30,BLS release archive
2022-11-10,CPI,08:30,BLS release archive
2022-11-15,PPI,08:30,BLS release archive
2022-11-16,retail_sales,08:30,Census MARTS release dates
2022-11-18,opex,09:30,monthly; AM-settled index options settle at the open
2022-11-24,early_close,13:00,exchange holiday: CME Globex-only session
2022-11-25,early_close,13:15,NYSE half day
2022-12-01,PCE,08:30,"Personal Income and Outlays, October 2022"
2022-12-02,NFP,08:30,BLS release archive
2022-12-09,PPI,08:30,BLS release archive
2022-12-13,CPI,08:30,BLS release archive
2022-12-14,FOMC,14:00,"scheduled meeting, statement 14:00"
2022-12-15,retail_sales,08:30,Census MARTS release dates
2022-12-16,opex,09:30,quad witching; AM-settled index options settle at the open
2022-12-23,PCE,08:30,"Personal Income and Outlays, November 2022"
2023-01-06,NFP,08:30,BLS release archive
2023-01-12,CPI,08:30,BLS release archive
2023-01-16,early_close,13:00,exchange holiday: CME Globex-only session
2023-01-18,PPI,08:30,BLS release archive
2023-01-18,retail_sales,08:30,Census MARTS release dates
2023-01-20,opex,09:30,monthly; AM-settled index options settle at the open
2023-01-26,GDP_advance,08:30,"Gross Domestic Product, Fourth Quarter and Year 2022 (Advance Estimate)"
2023-01-27,PCE,08:30,"Personal Income and Outlays, December 2022"
2023-02-01,FOMC,14:00,"scheduled meeting, statement 14:00"
2023-02-03,NFP,08:30,BLS release archive
2023-02-14,CPI,08:30,BLS release archive
2023-02-15,retail_sales,08:30,Census MARTS release dates
2023-02-16,PPI,08:30,BLS release archive
2023-02-17,opex,09:30,monthly; AM-settled index options settle at the open
2023-02-20,early_close,13:00,exchange holiday: CME Globex-only session
2023-02-24,PCE,08:30,"Personal Income and Outlays, January 2023"
2023-03-10,NFP,08:30,BLS release archive
2023-03-14,CPI,08:30,BLS release archive
2023-03-15,PPI,08:30,BLS release archive
2023-03-15,retail_sales,08:30,Census MARTS release dates
2023-03-17,opex,09:30,quad witching; AM-settled index options settle at the open
2023-03-22,FOMC,14:00,"scheduled meeting, statement 14:00"
2023-03-31,PCE,08:30,"Personal Income and Outlays, February 2023"
2023-04-07,NFP,08:30,BLS release archive
2023-04-12,CPI,08:30,BLS release archive
2023-04-13,PPI,08:30,BLS release archive
2023-04-14,retail_sales,08:30,Census MARTS release dates
2023-04-21,opex,09:30,monthly; AM-settled index options settle at the open
2023-04-27,GDP_advance,08:30,"Gross Domestic Product, First Quarter 2023 (Advance Estimate)"
2023-04-28,PCE,08:30,"Personal Income and Outlays, March 2023"
2023-05-03,FOMC,14:00,"scheduled meeting, statement 14:00"
2023-05-05,NFP,08:30,BLS release archive
2023-05-10,CPI,08:30,BLS release archive
2023-05-11,PPI,08:30,BLS release archive
2023-05-16,retail_sales,08:30,Census MARTS release dates
2023-05-19,opex,09:30,monthly; AM-settled index options settle at the open
2023-05-26,PCE,08:30,"Personal Income and Outlays, April 2023"
2023-05-29,early_close,13:00,exchange holiday: CME Globex-only session
2023-06-02,NFP,08:30,BLS release archive
2023-06-13,CPI,08:30,BLS release archive
2023-06-14,FOMC,14:00,"scheduled meeting, statement 14:00"
2023-06-14,PPI,08:30,BLS release archive
2023-06-15,retail_sales,08:30,Census MARTS release dates
2023-06-16,opex,09:30,quad witching; AM-settled index options settle at the open
2023-06-19,early_close,13:00,exchange holiday: CME Globex-only session
2023-06-30,PCE,08:30,"Personal Income and Outlays, May 2023"
2023-07-03,early_close,13:15,NYSE half day
2023-07-04,early_close,13:00,exchange holiday: CME Globex-only session
2023-07-07,NFP,08:30,BLS release archive
2023-07-12,CPI,08:30,BLS release archive
2023-07-13,PPI,08:30,BLS release archive
2023-07-18,retail_sales,08:30,Census MARTS release dates
2023-07-21,opex,09:30,monthly; AM-settled index options settle at the open
2023-07-26,FOMC,14:00,"scheduled meeting, statement 14:00"
2023-07-27,GDP_advance,08:30,"Gross Domestic Product, Second Quarter 2023 (Advance Estimate)"
2023-07-28,PCE,08:30,"Personal Income and Outlays, June 2023"
2023-08-04,NFP,08:30,BLS release archive
2023-08-10,CPI,08:30,BLS release archive
2023-08-11,PPI,08:30,BLS release archive
2023-08-15,retail_sales,08:30,Census MARTS release dates
2023-08-18,opex,09:30,monthly; AM-settled index options settle at the open
2023-08-31,PCE,08:30,"Personal Income and Outlays, July 2023"
2023-09-01,NFP,08:30,BLS release archive
2023-09-04,early_close,13:00,exchange holiday: CME Globex-only session
2023-09-13,CPI,08:30,BLS release archive
2023-09-14,PPI,08:30,BLS release archive
2023-09-14,retail_sales,08:30,Census MARTS release dates
2023-09-15,opex,09:30,quad witching; AM-settled index options settle at the open
2023-09-20,FOMC,14:00,"scheduled meeting, statement 14:00"
2023-09-29,PCE,08:30,"Personal Income and Outlays, August 2023"
2023-10-06,NFP,08:30,BLS release archive
2023-10-11,PPI,08:30,BLS release archive
2023-10-12,CPI,08:30,BLS release archive
2023-10-17,retail_sales,08:30,Census MARTS release dates
2023-10-20,opex,09:30,monthly; AM-settled index options settle at the open
2023-10-26,GDP_advance,08:30,"Gross Domestic Product, Third Quarter 2023 (Advance Estimate)"
2023-10-27,PCE,08:30,"Personal Income and Outlays, September 2023"
2023-11-01,FOMC,14:00,"scheduled meeting, statement 14:00"
2023-11-03,NFP,08:30,BLS release archive
2023-11-14,CPI,08:30,BLS release archive
2023-11-15,PPI,08:30,BLS release archive
2023-11-15,retail_sales,08:30,Census MARTS release dates
2023-11-17,opex,09:30,monthly; AM-settled index options settle at the open
2023-11-23,early_close,13:00,exchange holiday: CME Globex-only session
2023-11-24,early_close,13:15,NYSE half day
2023-11-30,PCE,08:30,"Personal Income and Outlays, October 2023"
2023-12-08,NFP,08:30,BLS release archive
2023-12-12,CPI,08:30,BLS release archive
2023-12-13,FOMC,14:00,"scheduled meeting, statement 14:00"
2023-12-13,PPI,08:30,BLS release archive
2023-12-14,retail_sales,08:30,Census MARTS release dates
2023-12-15,opex,09:30,quad witching; AM-settled index options settle at the open
2023-12-22,PCE,08:30,"Personal Income and Outlays, November 2023"
2024-01-05,NFP,08:30,BLS release archive
2024-01-11,CPI,08:30,BLS release archive
2024-01-12,PPI,08:30,BLS release archive
2024-01-15,early_close,13:00,exchange holiday: CME Globex-only session
2024-01-17,retail_sales,08:30,Census MARTS release dates
2024-01-19,opex,09:30,monthly; AM-settled index options settle at the open
2024-01-25,GDP_advance,08:30,"Gross Domestic Product, Fourth Quarter and Year 2023 (Advance Estimate)"
2024-01-26,PCE,08:30,"Personal Income and Outlays, December 2023"
2024-01-31,FOMC,14:00,"scheduled meeting, statement 14:00"
2024-02-02,NFP,08:30,BLS release archive
2024-02-13,CPI,08:30,BLS release archive
