Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
14,Entry short,2024-05-30 06:55,S|80|open:above|acc:6|risk:34.75|rr:2.2|va:89|h:9|m:55|cov:100,18738.5,1,37477,151,0.40,2,152,0.41,-29.5,-0.08,-136.5,-0.55,9
15,Exit long,2024-06-28 09:05,SL,20074.25,1,40203.5,-57,-0.14,2,56.5,0.14,-56,-0.14,-193.5,-0.77,8
15,Entry long,2024-06-28 08:25,L|80|open:below|acc:6|risk:27.5|rr:1.3|va:51|h:11|m:25|cov:100,20101.75,1,40203.5,-57,-0.14,2,56.5,0.14,-56,-0.14,-193.5,-0.77,8
16,Exit short,2024-07-10 08:55,SL,20768.75,1,41463,-76.5,-0.18,2,13.5,0.03,-75.5,-0.18,-270,-1.08,8
16,Entry short,2024-07-10 08:15,S|80|open:above|acc:6|risk:37.25|rr:1.1|va:63|h:11|m:15|cov:100,20731.5,1,41463,-76.5,-0.18,2,13.5,0.03,-75.5,-0.18,-270,-1.08,8
17,Exit long,2024-08-05 09:25,TP,18285,1,35762.5,805.5,2.25,2,806.5,2.26,-63,-0.18,535.5,2.14,30
17,Entry long,2024-08-05 06:55,L|80|open:below|acc:6|risk:415|rr:1|va:655|h:9|m:55|cov:100,17881.25,1,35762.5,805.5,2.25,2,806.5,2.26,-63,-0.18,535.5,2.14,30
18,Exit long,2024-08-09 09:10,SL,18458.75,1,37077.5,-162,-0.44,2,43,0.12,-161,-0.43,373.5,1.49,12
18,Entry long,2024-08-09 08:10,L|80|open:below|acc:6|risk:80|rr:1|va:129|h:11|m:10|cov:100,18538.75,1,37077.5,-162,-0.44,2,43,0.12,-161,-0.43,373.5,1.49,12
19,Exit long,2024-08-16 07:45,SL,19511.25,1,39135.5,-115,-0.29,2,30,0.08,-114,-0.29,258.5,1.03,3
19,Entry long,2024-08-16 07:30,L|80|open:below|acc:6|risk:56.5|rr:2|va:135|h:10|m:30|cov:100,19567.75,1,39135.5,-115,-0.29,2,30,0.08,-114,-0.29,258.5,1.03,3
20,Exit long,2024-09-12 09:20,TP,19312,1,38552.5,69.5,0.18,2,70.5,0.18,-54.5,-0.14,328,1.31,6
20,Entry long,2024-09-12 08:50,L|80|open:below|acc:6|risk:28|rr:1.3|va:51|h:11|m:50|cov:100,19276.25,1,38552.5,69.5,0.18,2,70.5,0.18,-54.5,-0.14,328,1.31,6
21,Exit short,2024-09-27 07:35,TP,20273,1,40656,108,0.27,2,109,0.27,-96.5,-0.24,436,1.74,8
21,Entry short,2024-09-27 06:55,S|80|open:above|acc:6|risk:61.25|rr:0.9|va:93|h:9|m:55|cov:100,20328,1,40656,108,0.27,2,109,0.27,-96.5,-0.24,436,1.74,8
22,Exit short,2024-10-04 12:20,SL,20189.25,1,40115.5,-265,-0.66,2,77.5,0.19,-264,-0.66,171,0.68,60
22,Entry short,2024-10-04 07:20,S|80|open:above|acc:6|risk:131.5|rr:0.9|va:197|h:10|m:20|cov:100,20057.75,1,40115.5,-265,-0.66,2,77.5,0.19,-264,-0.66,171,0.68,60
23,Exit short,2024-12-10 08:40,TP,21450,1,42986.5,84.5,0.20,2,85.5,0.20,-33,-0.08,255.5,1.02,4
23,Entry short,2024-12-10 08:20,S|80|open:above|acc:6|risk:35.5|rr:1.2|va:63|h:11|m:20|cov:100,21493.25,1,42986.5,84.5,0.20,2,85.5,0.20,-33,-0.08,255.5,1.02,4
24,Exit long,2024-12-18 08:15,SL,22268.75,1,44632,-96.5,-0.22,2,70.5,0.16,-95.5,-0.21,159,0.64,8
