date,entry_time,side,O,A,manip,ext,signal_t,target,be_level,stop,fill,entry,risk,exit_time,exit,reason,pnl,R,match,on_ratio
2021-07-26,2021-07-26 10:14:00-04:00,S,15099.25,13.252886953423284,up,15117.25,2021-07-26 10:12:00-04:00,15040.25,,15108.35,15097.0,15096.75,11.35,2021-07-26 10:32:00-04:00,15108.6,SL,-25.700000000000728,-1.1321585903084022,True,0.9024081115335868
2021-07-30,2021-07-30 10:21:00-04:00,S,14948.0,17.670041937422518,up,14979.75,2021-07-30 10:20:00-04:00,14851.5,,14963.7,14945.0,14944.75,18.7,2021-07-30 12:19:00-04:00,14963.95,SL,-40.400000000001455,-1.0802139037433545,True,1.2699619771863118
2021-09-06,2021-09-06 10:47:00-04:00,S,15702.75,3.10546011604442,up,15707.5,2021-09-06 10:27:00-04:00,15686.5,,15705.7,15702.5,15702.25,3.2,2021-09-06 12:50:00-04:00,15700.75,time,1.0,0.15625,True,0.9238754325259516
2021-11-16,2021-11-16 10:35:00-05:00,S,16224.5,19.578070306350664,up,16260.25,2021-11-16 10:24:00-05:00,16149.0,16205.75,16235.4,16221.0,16220.75,14.4,2021-11-16 10:40:00-05:00,16235.65,SL,-31.799999999999272,-1.1041666666666414,True,0.9478138222849083
2021-12-22,2021-12-22 10:16:00-05:00,S,16005.75,25.15020848286647,up,16027.0,2021-12-22 10:02:00-05:00,15943.5,,16017.3,16005.0,16004.75,12.3,2021-12-22 10:17:00-05:00,16017.55,SL,-27.599999999998545,-1.121951219512136,True,0.5564466378778532
2022-03-31,2022-03-31 10:17:00-04:00,L,15026.25,23.79216015667883,down,14966.0,2022-03-31 10:15:00-04:00,15096.5,,15017.6,15030.75,15031.0,13.15,2022-03-31 10:22:00-04:00,15017.35,SL,-29.299999999999272,-1.1140684410646111,True,0.4954337899543379
2022-04-18,2022-04-18 11:28:00-04:00,L,13866.25,28.642964969043707,down,13835.5,2022-04-18 10:02:00-04:00,13932.75,,13861.65,13873.5,13873.75,11.85,2022-04-18 11:33:00-04:00,13861.4,SL,-26.700000000000728,-1.1265822784810433,False,1.0970954356846474
2022-05-03,2022-05-03 11:07:00-04:00,S,13111.75,37.09059246205019,up,13152.0,2022-05-03 10:08:00-04:00,12968.0,,13136.9,13108.75,13108.5,28.15,2022-05-03 11:09:00-04:00,13137.15,SL,-59.29999999999927,-1.0532859680284063,True,0.9454545454545454
2022-07-11,2022-07-11 10:10:00-04:00,L,11884.75,25.439149215118082,down,11853.0,2022-07-11 10:08:00-04:00,12070.75,,11860.15,11895.25,11895.5,35.1,2022-07-11 15:54:00-04:00,11859.9,SL,-73.20000000000073,-1.042735042735053,True,0.836963696369637
2022-09-15,2022-09-15 10:08:00-04:00,S,12204.25,25.85041562580674,up,12233.25,2022-09-15 10:04:00-04:00,12110.5,12184.75,12213.7,12196.5,12196.25,17.2,2022-09-15 10:11:00-04:00,12196.75,BE,-3.0,-0.0872093023255814,True,0.9204545454545454
2022-09-26,2022-09-26 10:05:00-04:00,S,11491.5,29.764539514047925,up,11519.75,2022-09-26 10:04:00-04:00,11417.25,,11494.95,11482.0,11481.75,12.95,2022-09-26 10:06:00-04:00,11495.2,SL,-28.900000000001455,-1.115830115830172,True,1.056573705179283
2022-10-11,2022-10-11 10:20:00-04:00,L,10823.5,24.72301857487224,down,10788.5,2022-10-11 10:14:00-04:00,10897.25,,10809.05,10823.75,10824.0,14.7,2022-10-11 10:31:00-04:00,10808.8,SL,-32.400000000001455,-1.1020408163265802,True,0.8961611076148521
2022-10-17,2022-10-17 10:50:00-04:00,S,11074.0,27.17151800987558,up,11090.0,2022-10-17 10:02:00-04:00,10963.5,,11094.6,11072.75,11072.5,21.85,2022-10-17 11:30:00-04:00,11094.85,SL,-46.70000000000073,-1.0686498855835407,True,1.4010507880910683
2022-12-07,2022-12-07 10:10:00-05:00,L,11471.75,27.666424291330568,down,11440.25,2022-12-07 10:03:00-05:00,11596.0,,11450.5,11474.75,11475.0,24.25,2022-12-07 15:59:00-05:00,11507.5,time,63.0,1.2989690721649485,True,1.259799453053783
2023-01-23,2023-01-23 10:07:00-05:00,S,11801.0,21.427570392408835,up,11827.0,2023-01-23 10:06:00-05:00,11671.75,,11825.95,11800.25,11800.0,25.7,2023-01-23 10:12:00-05:00,11826.2,SL,-54.400000000001455,-1.0583657587548922,True,0.5386029411764706
2023-04-04,2023-04-04 10:40:00-04:00,S,13281.0,14.316255136818453,up,13326.75,2023-04-04 10:21:00-04:00,13230.0,,13278.0,13270.0,13269.75,8.0,2023-04-04 10:44:00-04:00,13278.25,SL,-19.0,-1.1875,False,0.8974358974358975
2023-06-22,2023-06-22 10:05:00-04:00,S,15083.75,19.20367957519512,up,15098.75,2023-06-22 10:02:00-04:00,14964.0,,15093.9,15072.25,15072.0,21.65,2023-06-22 10:11:00-04:00,15094.15,SL,-46.29999999999927,-1.0692840646651103,True,0.8788249694002448
2023-07-31,2023-07-31 10:35:00-04:00,L,15827.5,20.068627722897624,down,15807.25,2023-07-31 10:06:00-04:00,15905.0,,15822.2,15836.0,15836.25,13.8,2023-07-31 11:32:00-04:00,15821.95,SL,-30.599999999998545,-1.1086956521738602,True,1.1283783783783783
2023-08-08,2023-08-08 10:06:00-04:00,L,15294.0,19.985330117243976,down,15265.0,2023-08-08 10:05:00-04:00,15388.0,,15278.8,15297.0,15297.25,18.2,2023-08-08 10:10:00-04:00,15278.55,SL,-39.400000000001455,-1.0824175824176225,True,1.4282868525896415
