date,entry_time,side,O,A,manip,ext,signal_t,target,be_level,stop,fill,entry,risk,exit_time,exit,reason,pnl,R,match,on_ratio
2021-06-23,2021-06-23 10:07:00-04:00,S,14305.5,13.984216034625394,up,14316.75,2021-06-23 10:02:00-04:00,14268.75,,14317.75,14305.5,14305.25,12.25,2021-06-23 10:51:00-04:00,14269.0,TP,70.5,2.877551020408163,True,0.7734375
2021-06-25,2021-06-25 10:07:00-04:00,L,14341.5,13.602688445014978,down,14323.5,2021-06-25 10:04:00-04:00,14388.0,,14326.0,14341.5,14341.75,15.5,2021-06-25 10:11:00-04:00,14325.75,SL,-34.0,-1.096774193548387,True,0.6702702702702703
2021-07-12,2021-07-12 10:15:00-04:00,L,14828.75,14.226678674924692,down,14802.25,2021-07-12 10:14:00-04:00,14858.0,,14819.0,14828.75,14829.0,9.75,2021-07-12 10:15:00-04:00,14818.75,SL,-22.5,-1.1538461538461537,True,1.1671641791044776
2021-07-26,2021-07-26 10:13:00-04:00,S,15099.25,13.252886953423284,up,15117.25,2021-07-26 10:12:00-04:00,15040.25,,15118.916666666666,15099.25,15099.0,19.666666666666668,2021-07-26 10:36:00-04:00,15119.166666666666,SL,-42.33333333333212,-1.0762711864406471,True,0.9024081115335868
2021-07-30,2021-07-30 10:21:00-04:00,S,14948.0,17.670041937422518,up,14979.75,2021-07-30 10:20:00-04:00,14851.5,,14980.166666666666,14948.0,14947.75,32.166666666666664,2021-07-30 15:59:00-04:00,14955.25,time,-17.0,-0.26424870466321243,True,1.2699619771863118
2021-08-17,2021-08-17 10:04:00-04:00,L,14977.0,22.469019281920712,down,14948.75,2021-08-17 10:03:00-04:00,15042.5,,14955.166666666666,14977.0,14977.25,21.833333333333332,2021-08-17 10:12:00-04:00,14954.916666666666,SL,-46.66666666666788,-1.0687022900763636,True,1.5855263157894737
2021-08-25,2021-08-25 10:23:00-04:00,L,15377.25,10.312684064012105,down,15354.0,2021-08-25 10:17:00-04:00,15397.0,,15370.666666666666,15377.25,15377.5,6.583333333333333,2021-08-25 10:25:00-04:00,15370.416666666666,SL,-16.16666666666788,-1.227848101265915,False,0.7240829346092504
2021-09-06,2021-09-06 10:47:00-04:00,S,15702.75,3.10546011604442,up,15707.5,2021-09-06 10:27:00-04:00,15686.5,,15708.166666666666,15702.75,15702.5,5.416666666666667,2021-09-06 12:50:00-04:00,15700.75,time,1.5,0.13846153846153844,True,0.9238754325259516
2021-09-14,2021-09-14 10:08:00-04:00,L,15432.25,18.55851630224558,down,15404.25,2021-09-14 10:07:00-04:00,15523.75,,15401.75,15432.25,15432.5,30.5,2021-09-14 10:39:00-04:00,15401.5,SL,-64.0,-1.0491803278688525,True,1.3459119496855345
2021-09-29,2021-09-29 10:09:00-04:00,S,14882.5,26.548572524952842,up,14906.75,2021-09-29 10:02:00-04:00,14787.75,,14914.083333333334,14882.5,14882.25,31.583333333333332,2021-09-29 11:35:00-04:00,14788.0,TP,186.5,2.9525065963060686,True,1.7074401008827238
2021-10-20,2021-10-20 10:59:00-04:00,L,15406.0,13.869819796441218,down,15380.0,2021-10-20 10:13:00-04:00,15441.0,,15394.333333333334,15406.0,15406.25,11.666666666666666,2021-10-20 11:03:00-04:00,15394.083333333334,SL,-26.33333333333212,-1.1285714285713766,True,0.33083832335329344
2021-11-16,2021-11-16 10:35:00-05:00,S,16224.5,19.578070306350664,up,16260.25,2021-11-16 10:24:00-05:00,16149.0,16205.75,16249.666666666666,16224.5,16224.25,25.166666666666668,2021-11-16 11:02:00-05:00,16249.916666666666,SL,-53.33333333333212,-1.0596026490065984,True,0.9478138222849083
2021-12-01,2021-12-01 10:25:00-05:00,S,16329.5,23.04794517266989,up,16377.5,2021-12-01 10:22:00-05:00,16270.75,,16349.083333333334,16329.5,16329.25,19.583333333333332,2021-12-01 10:47:00-05:00,16349.333333333334,SL,-42.16666666666788,-1.076595744680882,False,2.153098420413123
2021-12-15,2021-12-15 10:08:00-05:00,L,15840.75,26.13603697905934,down,15807.5,2021-12-15 10:02:00-05:00,15927.75,,15811.75,15840.75,15841.0,29.0,2021-12-15 11:19:00-05:00,15811.5,SL,-61.0,-1.0517241379310345,True,0.6543715846994536
2021-12-22,2021-12-22 10:16:00-05:00,S,16005.75,25.15020848286647,up,16027.0,2021-12-22 10:02:00-05:00,15943.5,,16026.5,16005.75,16005.5,20.75,2021-12-22 10:20:00-05:00,16026.75,SL,-44.5,-1.072289156626506,True,0.5564466378778532
2022-02-08,2022-02-08 10:26:00-05:00,L,14521.25,28.654301527479536,down,14467.75,2022-02-08 10:18:00-05:00,14588.25,,14498.916666666666,14521.25,14521.5,22.333333333333332,2022-02-08 10:27:00-05:00,14498.666666666666,SL,-47.66666666666788,-1.0671641791045048,False,0.6419036564132328
2022-02-21,2022-02-21 10:48:00-05:00,L,13829.25,28.1309081605038,down,13813.25,2022-02-21 10:05:00-05:00,13884.0,13854.75,13811.0,13829.25,13829.5,18.25,2022-02-21 10:48:00-05:00,13810.75,SL,-39.5,-1.082191780821918,True,1.8301435406698565
2022-02-24,2022-02-24 10:30:00-05:00,L,13339.25,57.54057113728761,down,13246.5,2022-02-24 10:12:00-05:00,13418.0,13364.0,13313.0,13339.25,13339.5,26.25,2022-02-24 10:34:00-05:00,13417.75,TP,154.5,2.942857142857143,False,2.449284380833852
2022-03-01,2022-03-01 10:05:00-05:00,S,14199.25,37.611851091098416,up,14260.0,2022-03-01 10:02:00-05:00,14153.5,14162.25,14214.5,14199.25,14199.0,15.25,2022-03-01 10:08:00-05:00,14214.75,SL,-33.5,-1.098360655737705,True,1.2308612440191387
2022-03-04,2022-03-04 10:04:00-05:00,S,13922.75,40.48546808360984,up,13951.0,2022-03-04 10:03:00-05:00,13834.0,,13952.333333333334,13922.75,13922.5,29.583333333333332,2022-03-04 10:11:00-05:00,13834.25,TP,174.5,2.9492957746478874,False,1.383987761346252
2022-03-08,2022-03-08 10:21:00-05:00,L,13252.0,52.10559516555127,down,13137.25,2022-03-08 10:20:00-05:00,13373.75,,13211.416666666666,13252.0,13252.25,40.583333333333336,2022-03-08 10:25:00-05:00,13211.166666666666,SL,-84.16666666666788,-1.0369609856262982,True,1.2131931166347993
2022-03-14,2022-03-14 10:04:00-04:00,L,13273.75,41.952284277497064,down,13236.5,2022-03-14 10:02:00-04:00,13341.0,,13251.333333333334,13273.75,13274.0,22.416666666666668,2022-03-14 10:08:00-04:00,13340.75,TP,131.5,2.933085501858736,False,0.6920062695924765
