family,side,entry_time,sweep_t,inv_t,pnl,R,sgn,sweep_delta,sweep_cum,sweep_div,entry_delta,stack,absorption,year
IFVG-1m,S,2026-06-23 10:05:00-04:00,2026-06-23 09:21:00-04:00,2026-06-23 10:05:00-04:00,-87.0,-1.0357142857142858,-1,,,,144.0,3.0,18.64761904761905,2026
IFVG-1m,L,2026-07-20 10:55:00-04:00,2026-07-20 10:53:00-04:00,2026-07-20 10:55:00-04:00,-57.5,-1.055045871559633,1,-216.0,-896.0,0.005032293388851866,18.0,3.0,9.626373626373626,2026
IFVG-1m,L,2026-07-21 10:06:00-04:00,2026-07-21 09:57:00-04:00,2026-07-21 10:06:00-04:00,-110.0,-1.02803738317757,1,-24.0,-723.0,-0.010865976967508462,370.0,3.0,10.627450980392156,2026
IFVG-1m,L,2026-07-21 10:22:00-04:00,2026-07-21 09:57:00-04:00,2026-07-21 10:22:00-04:00,223.0,1.3313432835820895,1,-24.0,-723.0,-0.010865976967508462,204.0,4.0,8.75,2026
IFVG-1m,S,2026-07-30 10:42:00-04:00,2026-07-30 10:02:00-04:00,2026-07-30 10:42:00-04:00,234.0,2.962025316455696,-1,-134.0,-2614.0,0.015806088455114744,121.0,4.0,7.692857142857143,2026
AMD1-1m,S,2019-06-04 09:32:00-04:00,2019-06-04 09:31:00-04:00,2019-06-04 09:32:00-04:00,-43.0,-1.075,-1,594.0,366.0,0.021232550427696523,278.0,1.0,115.03225806451613,2019
AMD1-1m,S,2019-06-11 09:36:00-04:00,2019-06-11 09:30:00-04:00,2019-06-11 09:36:00-04:00,119.5,2.7790697674418605,-1,-341.0,-341.0,0.09036924513618447,818.0,7.0,60.95238095238095,2019
AMD1-1m,S,2019-06-28 09:35:00-04:00,2019-06-28 09:31:00-04:00,2019-06-28 09:35:00-04:00,43.0,1.3870967741935485,-1,-318.0,-630.0,-0.050987348712697236,451.0,5.0,57.75675675675676,2019
AMD1-1m,S,2019-07-01 09:31:00-04:00,2019-07-01 09:30:00-04:00,2019-07-01 09:31:00-04:00,-31.5,-1.105263157894737,-1,-8.0,-6.0,0.04031962020515109,479.0,2.0,55.274193548387096,2019
AMD1-1m,S,2019-07-10 10:59:00-04:00,2019-07-10 09:32:00-04:00,2019-07-10 10:59:00-04:00,-38.5,-0.38308457711442784,-1,-108.0,-510.0,0.04579865178451165,982.0,12.0,52.74576271186441,2019
AMD1-1m,L,2019-07-16 09:45:00-04:00,2019-07-16 09:30:00-04:00,2019-07-16 09:45:00-04:00,-30.0,-1.1111111111111112,1,68.0,67.0,0.17728746286770253,312.0,2.0,52.63157894736842,2019
AMD1-1m,S,2019-07-18 09:50:00-04:00,2019-07-18 09:35:00-04:00,2019-07-18 09:50:00-04:00,-37.5,-1.0869565217391304,-1,-333.0,-1037.0,-0.019250233982584984,424.0,4.0,73.4074074074074,2019
AMD1-1m,S,2019-08-06 09:46:00-04:00,2019-08-06 09:30:00-04:00,2019-08-06 09:46:00-04:00,-74.5,-1.0419580419580419,-1,-589.0,-589.0,-0.09295740345100796,354.0,2.0,55.57575757575758,2019
AMD1-1m,S,2019-08-19 10:01:00-04:00,2019-08-19 09:30:00-04:00,2019-08-19 10:01:00-04:00,-67.0,-1.046875,-1,-526.0,-526.0,-0.14853331843037143,428.0,4.0,43.54838709677419,2019
AMD1-1m,L,2019-08-20 10:11:00-04:00,2019-08-20 09:33:00-04:00,2019-08-20 10:11:00-04:00,15.5,0.24603174603174602,1,-487.0,-597.0,0.05087284196289864,158.0,3.0,37.07142857142857,2019
AMD1-1m,L,2019-08-28 09:48:00-04:00,2019-08-28 09:32:00-04:00,2019-08-28 09:48:00-04:00,98.5,1.3310810810810811,1,-163.0,-702.0,-0.027347487497678777,328.0,4.0,45.30909090909091,2019
AMD1-1m,S,2019-08-29 10:11:00-04:00,2019-08-29 09:32:00-04:00,2019-08-29 10:11:00-04:00,-22.0,-0.36666666666666664,-1,-708.0,-1045.0,0.01854371420225405,635.0,4.0,57.94230769230769,2019
AMD1-1m,S,2019-09-03 10:00:00-04:00,2019-09-03 09:36:00-04:00,2019-09-03 10:00:00-04:00,2.5,0.030864197530864196,-1,-257.0,-1002.0,0.0030952061417959323,713.0,31.0,27.94573643410853,2019
AMD1-1m,S,2019-09-11 09:43:00-04:00,2019-09-11 09:40:00-04:00,2019-09-11 09:43:00-04:00,-34.0,-1.096774193548387,-1,-23.0,-1063.0,-0.01318201444370893,84.0,2.0,55.52,2019
AMD1-1m,L,2019-09-13 09:43:00-04:00,2019-09-13 09:30:00-04:00,2019-09-13 09:43:00-04:00,-44.0,-1.0731707317073171,1,60.0,60.0,-0.05057891819117763,178.0,3.0,32.0,2019
