tf,pattern,side,cond,n,pts6,base_pts6,atr6,base_atr6,pts12,base_pts12,atr12,base_atr12,pts24,base_pts24,atr24,base_atr24,held,base_held,excess12,n_2019-2022,excess12_2019-2022,p_2019-2022,n_2023-2026,excess12_2023-2026,p_2023-2026,passes
1m,inside,bear,all,40203,-0.08904808098898093,-0.041639621139417195,-0.0102619981608146,-0.006108496606331898,-0.03030868343158471,-0.09199454246146595,-0.008810525372733654,-0.012836691323914403,-0.13800750816384252,-0.18197513189767264,-0.018415668920304575,-0.02470744637255029,0.13409272068087733,0.1253782724200764,0.004026165951180749,19088,0.011737959760866465,0.2449382132816237,21115,-0.0017305516414584225,0.5446225800039849,False
1m,inside,bear,overnight,9632,0.051157599667774084,-0.043355399041591254,-3.660339477009382e-05,-0.006134972970574617,0.13483700166112958,-0.1042883573446176,0.0028667310641931646,-0.013116632778633699,0.6967897271268058,-0.20388468766114037,0.04366565590897068,-0.025270925351070738,0.1348314606741573,0.12587767119367155,0.015983363842826864,4485,0.016104580080925933,0.3248985361453556,5147,0.018051308122294635,0.2831060196474469,False
1m,inside,bear,vwap2s,3434,-0.30481945253348863,0.0006457019536879993,-0.023956379102581176,-0.005018686044444825,-0.40186371578334307,-0.030197615060816616,-0.01903197887566877,-0.01178894550331761,-0.22463334331038612,-0.1801937145626276,-0.02991402092611066,-0.025996245525833506,0.15205028434600418,0.1286720944441226,-0.0072430333723511615,1573,0.018210910045237456,0.3896371851592101,1861,-0.026768126259051537,0.6836513800244606,False
1m,inside,bull,all,40618,0.20433059234822,0.04028030914445998,0.014411307935281701,0.005874590037961986,0.1658439608055542,0.09398605503880127,0.014389769285376506,0.012474606715147267,0.3800915012800041,0.1822544307653396,0.02771262682460378,0.023939904075257243,0.15524801662737941,0.14318387761586487,0.0019151625702292386,19184,0.008965584335292561,0.29786586682706695,21434,-0.00473536054032282,0.6216127690682526,False
1m,inside,bull,overnight,7275,0.4970790378006873,0.04831284825654374,0.013420061686055081,0.0063051637600968855,-0.042027491408934706,0.11015303328829262,-0.028891236838725635,0.012991918483604738,0.08172399210600508,0.20140648774409356,-0.03423893646157204,0.024182132204404173,0.15477868621370172,0.143973734949567,-0.041883155322330376,3511,-0.035257857491404095,0.8138016529180102,3764,-0.05003682513879585,0.9131007861224473,False
1m,inside,bull,vwap2s,2921,0.4358952413557001,-0.008864395337288992,-0.012627399686374207,0.0038086584513024034,-0.24289626840123246,0.014194977857431807,-0.0734032924320353,0.009869170381434202,-0.013752627890679747,0.17826001791631513,-0.07591437314780375,0.024080811646711806,0.16608269096005607,0.1458664320533633,-0.0832724628134695,1380,-0.10896705789159893,0.9413293006557102,1541,-0.05961046830329161,0.827638166273154,False
1m,3bar,bear,all,32852,-0.2321243759892853,-0.03425706101856711,-0.022699482480141087,-0.005116461973412683,-0.24360769511749666,-0.09206536156039935,-0.03519245670992684,-0.01214214528087438,-0.20208713719070703,-0.17939548267280844,-0.037714439647804625,-0.023395246487534205,0.38188629352137504,0.127894858366566,-0.023050311429052464,16131,-0.04168763770482589,0.9885027862296001,16721,-0.004527073479127772,0.6034792253820715,False
1m,3bar,bear,overnight,7874,-0.12680975361950725,-0.04086172953657149,-0.017035774488005764,-0.005305469039047469,-0.21174117348234697,-0.10829742344230968,-0.03569904414554006,-0.012498387739732315,0.4498241729617088,-0.19748583293276004,0.015563480239174305,-0.022417167551325255,0.38460536598072415,0.12846990753123577,-0.02320065640580774,3818,-0.05795520131698146,0.9373224587861307,4056,0.009908159728192315,0.3893834556990299,False
1m,3bar,bear,vwap2s,1993,-0.09834420471650777,-0.013156618651527481,-0.04768573262142302,-0.005409378175509951,-0.8355494229804316,-0.060706348142836035,-0.11037436480461167,-0.012681652289116031,-1.3207399687337156,-0.14833669532524127,-0.13385733397076055,-0.024044336587498286,0.35956227201667534,0.1285007241924271,-0.09769271251549563,938,-0.10972493805868609,0.917903909482326,1055,-0.09593298004057754,0.9159953631209877,False
1m,3bar,bull,all,33893,-0.21367981589118698,0.02905544936939683,-0.017147450378660663,0.004794184853691289,-0.1648201693565043,0.08537471616683387,-0.013125566580560346,0.011840502976053921,0.21039482932493964,0.18617252366124803,0.024466679711164622,0.024063295714892168,0.40836720349601197,0.14574405189066703,-0.02496606955661427,16702,-0.056577288708076344,0.9991572425574111,17191,0.006804574097993155,0.3445760728656943,False
1m,3bar,bull,overnight,6529,-0.08791545412773778,0.03729318161578022,-0.013505797812470178,0.004981730160954678,-0.40124827691836423,0.09408260138320862,-0.03055372031143355,0.010912277495842873,-0.13662149385439648,0.214081839037271,-0.02814328616480221,0.023462307065434316,0.4114402773400567,0.14658059944483867,-0.041465997807276424,3320,-0.039789915871646354,0.8370764746316777,3209,-0.041913254435311374,0.8547118613925166,False
1m,3bar,bull,vwap2s,1549,-1.235635894125242,0.01941919202932733,-0.06534664305849791,0.006698044836320052,-1.6657520981278244,0.06596376730618227,-0.07008618461735125,0.01377980552611044,-1.6061210911510313,0.1587182886343582,-0.031219997416271506,0.025759190432019116,0.4045242847638057,0.14622170149251076,-0.08386599014346169,744,-0.1988443105167848,0.9886294508459124,805,0.030820830781525296,0.35015910445719434,False
1m,double,bear,all,137171,-0.11259668588841665,-0.045822537283314486,-0.01091348683548875,-0.006079610908879416,-0.18171843902865767,-0.0963584127881285,-0.022030238312216732,-0.012841487914842707,-0.23245498230976394,-0.17728649365293986,-0.03349760912860636,-0.024357737427009942,0.22820027308594665,0.12582050039904333,-0.009188750397374025,66842,-0.017980473730994068,0.9780638490125777,70329,-0.0008138759755789545,0.5388714610033343,False
1m,double,bear,overnight,33233,-0.16764962537237083,-0.05186376337202599,-0.011917758106328754,-0.0060999161410821385,-0.25559684650798903,-0.10689219442649064,-0.021318249341399725,-0.012445541182757659,-0.05170385960568263,-0.18656017851072473,-0.006857468198407327,-0.023247616062048306,0.224612337119688,0.12618177339163872,-0.008872708158642066,16090,-0.03865286069233394,0.9835150628062438,17143,0.019226098638901172,0.1275331455604967,False
